"INDUSTRY_9S","Education","Sex","Age","Item","UNIT","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year",
"Accommodation and food service activities","Under middle shcool","Male","35 ~ 39","Employment","Persons","254","386","179","66","200","129","335","359","102","58","137",
"Accommodation and food service activities","Under middle shcool","Male","40 ~ 44","Hours worked","Hours","239","252.1","215.4","213.8","198.2","240.3","205","226","226.5","206.1","221.7",
"Accommodation and food service activities","Under middle shcool","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1774","2507","1802","2214","2499","2090","2547","2182","2013","2776","2598",
"Accommodation and food service activities","Under middle shcool","Male","40 ~ 44","Employment","Persons","271","442","253","178","194","535","142","482","609","280","72",
"Accommodation and food service activities","Under middle shcool","Male","45 ~ 49","Hours worked","Hours","222.9","253.1","213","227.8","207.2","204.8","246.8","227.5","218","230.1","189",
"Accommodation and food service activities","Under middle shcool","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1818","2002","2153","1849","2621","2395","2446","2704","2789","2780","2996",
"Accommodation and food service activities","Under middle shcool","Male","45 ~ 49","Employment","Persons","168","735","302","394","251","232","613","772","101","354","110",
"Accommodation and food service activities","Under middle shcool","Male","50 ~ 54","Hours worked","Hours","223.9","217.3","203","214.7","215.5","236.2","226.4","228.2","201.6","109.3","195.9",
"Accommodation and food service activities","Under middle shcool","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2173","2073","2528","2350","2170","2467","2358","2494","2724","1166","2927",
"Accommodation and food service activities","Under middle shcool","Male","50 ~ 54","Employment","Persons","396","437","449","601","684","1304","1381","989","331","487","285",
"Accommodation and food service activities","Under middle shcool","Male","55 ~ 59","Hours worked","Hours","253.6","221","214.1","222.9","207.7","210.3","203.9","218.3","187.7","184.9","179.4",
"Accommodation and food service activities","Under middle shcool","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1992","2000","2167","1970","1908","2126","2255","2320","2115","2468","3034",
"Accommodation and food service activities","Under middle shcool","Male","55 ~ 59","Employment","Persons","317","296","541","835","792","451","455","680","759","438","629",
"Accommodation and food service activities","Under middle shcool","Male","60 years old and over","Hours worked","Hours","211.3","242.7","200.4","203.7","212.3","206.2","201","202.4","199.5","197","181.6",
"Accommodation and food service activities","Under middle shcool","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1295","1591","1348","1620","1705","1701","1795","1886","1787","1956","2178",
"Accommodation and food service activities","Under middle shcool","Male","60 years old and over","Employment","Persons","531","1134","834","1112","1724","1335","873","1119","1159","1238","1664",
"Accommodation and food service activities","Under middle shcool","Female","19 years old and less","Hours worked","Hours","126.5","109.6","85.9","71","85","69.6","58.4","59.2","77.8","46.5","89.1",
"Accommodation and food service activities","Under middle shcool","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","510","498","408","411","433","421","428","390","572","373","909",
"Accommodation and food service activities","Under middle shcool","Female","19 years old and less","Employment","Persons","640","678","934","245","968","1656","1226","2227","343","620","215",
"Accommodation and food service activities","Under middle shcool","Female","20 ~ 24","Hours worked","Hours","235","254.3","202.1","238.8","157.8","142.8","181.4","121.6","192.9","79.9","112.2",
"Accommodation and food service activities","Under middle shcool","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","986","1364","1146","1348","1122","956","1423","951","1296","808","1321",
"Accommodation and food service activities","Under middle shcool","Female","20 ~ 24","Employment","Persons","4","44","70","53","714","17","48","133","60","280","79",
"Accommodation and food service activities","Under middle shcool","Female","25 ~ 29","Hours worked","Hours","210.7","248","229.3","253.1","169.7","201.7","184","220.7","18","44.3","226.4",
"Accommodation and food service activities","Under middle shcool","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1163","1661","1441","1513","1210","2229","1408","1666","116","505","1797",
"Accommodation and food service activities","Under middle shcool","Female","25 ~ 29","Employment","Persons","32","65","34","37","231","46","14","45","2","189","63",
"Accommodation and food service activities","Under middle shcool","Female","30 ~ 34","Hours worked","Hours","226","225.7","205.2","216.3","242.9","173.6","241.8","202.3","188.3","218.8","237.9",
"Accommodation and food service activities","Under middle shcool","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1292","1729","1621","1604","1690","1125","2089","2327","1784","2044","2497",
"Accommodation and food service activities","Under middle shcool","Female","30 ~ 34","Employment","Persons","143","32","32","97","83","36","31","46","55","270","98",
"Accommodation and food service activities","Under middle shcool","Female","35 ~ 39","Hours worked","Hours","229.6","230.6","191.7","219.9","210.1","206.7","252.9","204.6","203.8","193","220.2",
"Accommodation and food service activities","Under middle shcool","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1406","1476","1701","1270","1755","1749","1877","1858","1974","2363","2273",
"Accommodation and food service activities","Under middle shcool","Female","35 ~ 39","Employment","Persons","853","1034","65","58","291","102","163","193","83","78","110",
"Accommodation and food service activities","Under middle shcool","Female","40 ~ 44","Hours worked","Hours","218.4","216.2","235.1","232.7","227.2","192.1","208.5","183.4","232.7","239.6","201.3",
"Accommodation and food service activities","Under middle shcool","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1300","1306","1524","1484","1678","1532","1977","1619","2209","2338","2432",
"Accommodation and food service activities","Under middle shcool","Female","40 ~ 44","Employment","Persons","1105","1123","499","387","651","455","400","531","59","128","116",
"Accommodation and food service activities","Under middle shcool","Female","45 ~ 49","Hours worked","Hours","222.5","224.5","223.9","231.5","220.9","197.1","200.5","197.7","186.4","213.5","183.2",
"Accommodation and food service activities","Under middle shcool","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1389","1488","1614","1612","1621","1598","1909","1922","1692","2438","2058",
"Accommodation and food service activities","Under middle shcool","Female","45 ~ 49","Employment","Persons","2686","2534","1379","1895","1679","1116","717","557","437","114","201",
"Accommodation and food service activities","Under middle shcool","Female","50 ~ 54","Hours worked","Hours","220.3","214","207","209.3","210.3","204.1","203.2","209","207.6","203.1","184.9",
"Accommodation and food service activities","Under middle shcool","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1419","1452","1518","1574","1643","1774","1955","1821","1935","2225","2194",
"Accommodation and food service activities","Under middle shcool","Female","50 ~ 54","Employment","Persons","5235","3338","2156","3684","3321","2811","1465","2501","1473","630","772",
"Accommodation and food service activities","Under middle shcool","Female","55 ~ 59","Hours worked","Hours","220.5","236.9","212.7","209.1","204.4","202.7","203.8","205.7","185.2","185.3","183.2",
"Accommodation and food service activities","Under middle shcool","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1373","1543","1472","1491","1569","1735","1826","1778","1786","2086","2209",
"Accommodation and food service activities","Under middle shcool","Female","55 ~ 59","Employment","Persons","1429","2593","2918","3223","3715","3256","3402","4902","2573","2458","2696",
"Accommodation and food service activities","Under middle shcool","Female","60 years old and over","Hours worked","Hours","223.3","199.4","199.3","195.2","200.8","176.6","179.3","203.5","184.6","126.8","181",
"Accommodation and food service activities","Under middle shcool","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1347","1200","1310","1412","1507","1363","1456","1682","1685","1336","2107",
"Accommodation and food service activities","Under middle shcool","Female","60 years old and over","Employment","Persons","1823","1292","3063","3521","3709","3496","4463","5248","3023","7404","6233",
"Accommodation and food service activities","High shcool","Male","19 years old and less","Hours worked","Hours","136.5","161.5","124.7","121","119.7","119.4","101.9","120.3","123.8","106.8","121.7",
"Accommodation and food service activities","High shcool","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","638","902","679","791","830","911","720","898","1041","985","1255",
"Accommodation and food service activities","High shcool","Male","19 years old and less","Employment","Persons","1351","1651","2245","2494","2539","2429","3802","4026","3103","2987","1894",
"Accommodation and food service activities","High shcool","Male","20 ~ 24","Hours worked","Hours","177","166.1","172.9","160.2","138.4","146.2","131.5","144.1","143.3","135.9","138.4",
"Accommodation and food service activities","High shcool","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","997","986","1076","1071","991","1104","1016","1130","1248","1351","1558",
"Accommodation and food service activities","High shcool","Male","20 ~ 24","Employment","Persons","3160","4207","5683","6108","6953","9354","8960","12396","15031","13746","12620",
"Accommodation and food service activities","High shcool","Male","25 ~ 29","Hours worked","Hours","219.3","210","194.7","205.6","193.6","192.6","189.4","176.3","180.7","174.5","171.7",
"Accommodation and food service activities","High shcool","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1411","1496","1525","1667","1613","1737","1710","1635","1791","1877","2122",
"Accommodation and food service activities","High shcool","Male","25 ~ 29","Employment","Persons","4758","6259","5603","5425","6180","5717","6338","8575","9720","8224","11004",
"Accommodation and food service activities","High shcool","Male","30 ~ 34","Hours worked","Hours","226.8","215.1","217.2","214.7","203.8","206.9","204.4","204.2","205","195.4","183.3",
"Accommodation and food service activities","High shcool","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1680","1954","1984","1905","2025","2139","1959","2079","2171","2302","2495",
"Accommodation and food service activities","High shcool","Male","30 ~ 34","Employment","Persons","5064","3884","4375","6433","6091","6828","7140","6348","7368","5353","6824",
"Accommodation and food service activities","High shcool","Male","35 ~ 39","Hours worked","Hours","228.5","222.5","216.1","214.8","209.3","209.5","204.2","209.4","209.4","207.4","194.2",
"Accommodation and food service activities","High shcool","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1847","2056","2252","2138","2148","2275","2200","2279","2268","2469","2654",
"Accommodation and food service activities","High shcool","Male","35 ~ 39","Employment","Persons","5018","5385","5663","5694","5297","5325","4365","6995","6788","6132","6939",
"Accommodation and food service activities","High shcool","Male","40 ~ 44","Hours worked","Hours","211.7","214.6","215.2","206.2","209.6","207.6","210","214.5","210.6","193.7","191.9",
"Accommodation and food service activities","High shcool","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2371","2188","2403","2293","2233","2347","2293","2465","2646","2671","2704",
"Accommodation and food service activities","High shcool","Male","40 ~ 44","Employment","Persons","3494","5237","4907","5471","6766","6144","7598","6594","7724","6491","7273",
"Accommodation and food service activities","High shcool","Male","45 ~ 49","Hours worked","Hours","220.2","217.8","215.6","213.2","211.2","208.1","209.9","213.7","214.8","197.4","199.9",
"Accommodation and food service activities","High shcool","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","2381","2298","2430","2489","2592","2156","2355","2539","2616","2664","2925",
"Accommodation and food service activities","High shcool","Male","45 ~ 49","Employment","Persons","2476","3879","3655","3721","4424","5639","6251","6464","6859","6663","8381",
"Accommodation and food service activities","High shcool","Male","50 ~ 54","Hours worked","Hours","229.4","214.1","209.9","211.5","204.6","211.9","214.6","213.3","210.5","200.9","184.7",
"Accommodation and food service activities","High shcool","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1697","2419","2363","2348","2563","2464","2579","2471","2715","2595","2679",
"Accommodation and food service activities","High shcool","Male","50 ~ 54","Employment","Persons","3732","2906","3199","3491","4323","4317","5052","5687","4533","5438","7299",
"Accommodation and food service activities","High shcool","Male","55 ~ 59","Hours worked","Hours","214.8","205.5","210.6","212.4","198","210.1","207.9","209.5","208.4","200.4","194.7",
"Accommodation and food service activities","High shcool","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1899","2185","2192","2331","2114","2273","2245","2299","2508","2801","2718",
"Accommodation and food service activities","High shcool","Male","55 ~ 59","Employment","Persons","687","962","1778","2494","3110","2570","3721","5014","4528","4500","5275",
"Accommodation and food service activities","High shcool","Male","60 years old and over","Hours worked","Hours","209.2","213.4","245.2","211.4","205.7","200.8","194.2","206.3","201.6","191.1","187.6",
"Accommodation and food service activities","High shcool","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1809","1562","1523","1500","1575","1869","1836","1946","1991","2233","2373",
"Accommodation and food service activities","High shcool","Male","60 years old and over","Employment","Persons","1396","1143","2652","3536","3994","2339","3944","5021","4265","5243","7489",
"Accommodation and food service activities","High shcool","Female","19 years old and less","Hours worked","Hours","134.8","108.3","118.2","129.9","109","105.2","95.6","98.2","89.1","104.7","115",
"Accommodation and food service activities","High shcool","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","653","630","638","854","706","706","670","753","694","965","1207",
"Accommodation and food service activities","High shcool","Female","19 years old and less","Employment","Persons","1718","3003","3960","3016","2802","4998","5769","5991","5842","4736","2748",
"Accommodation and food service activities","High shcool","Female","20 ~ 24","Hours worked","Hours","177","142.4","148.5","132.7","142.6","148.6","123.1","138.1","116.6","117.3","128.9",
"Accommodation and food service activities","High shcool","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","996","876","929","928","1010","1087","970","1129","1028","1135","1453",
"Accommodation and food service activities","High shcool","Female","20 ~ 24","Employment","Persons","3903","5114","7127","7259","6250","10855","9865","12404","16874","14151","10728",
"Accommodation and food service activities","High shcool","Female","25 ~ 29","Hours worked","Hours","214.2","185.8","193.6","190.5","183.1","182.9","188.8","177.1","176.9","161","163.9",
"Accommodation and food service activities","High shcool","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1319","1137","1495","1496","1486","1557","1753","1602","1662","1825","2092",
"Accommodation and food service activities","High shcool","Female","25 ~ 29","Employment","Persons","3260","3776","2889","3163","3327","2701","4430","4334","6406","5863","5115",
"Accommodation and food service activities","High shcool","Female","30 ~ 34","Hours worked","Hours","226.7","210.5","207.9","215.5","198.4","201.8","186","188.3","177.5","179.6","177",
"Accommodation and food service activities","High shcool","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1513","1313","1631","1677","1606","1830","1665","1682","1777","2019","2045",
"Accommodation and food service activities","High shcool","Female","30 ~ 34","Employment","Persons","2149","4536","3073","3052","2839","2739","3391","4164","5184","2797","3504",
"Accommodation and food service activities","High shcool","Female","35 ~ 39","Hours worked","Hours","213.7","213","208.2","215","199.2","208.4","184.6","204.8","188.7","184.7","172.9",
"Accommodation and food service activities","High shcool","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1292","1337","1472","1507","1537","1665","1526","1796","1778","1925","2008",
"Accommodation and food service activities","High shcool","Female","35 ~ 39","Employment","Persons","6153","6141","5250","5916","4612","4109","5801","5065","6151","5746","6629",
"Accommodation and food service activities","High shcool","Female","40 ~ 44","Hours worked","Hours","217.2","222.3","211","214.5","200.2","207.3","203.9","210.4","200.9","177.4","176.6",
"Accommodation and food service activities","High shcool","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1292","1320","1471","1576","1626","1709","1768","1831","1798","1936","2063",
"Accommodation and food service activities","High shcool","Female","40 ~ 44","Employment","Persons","7792","10975","9649","10382","9304","8864","10217","10047","9230","7773","9623",
"Accommodation and food service activities","High shcool","Female","45 ~ 49","Hours worked","Hours","212.9","212","213.6","218.2","206.5","203.7","205.2","207.6","195.5","187.5","183.9",
"Accommodation and food service activities","High shcool","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1308","1410","1499","1578","1603","1666","1768","1821","1891","2048","2163",
"Accommodation and food service activities","High shcool","Female","45 ~ 49","Employment","Persons","10682","10842","12555","15478","12771","16211","18633","19610","16929","16734","19351",
"Accommodation and food service activities","High shcool","Female","50 ~ 54","Hours worked","Hours","211.7","216.7","211.6","212.1","203.2","206.5","206.9","204.7","207.9","187.7","182",
"Accommodation and food service activities","High shcool","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1372","1336","1481","1575","1610","1649","1704","1817","1956","2111","2130",
"Accommodation and food service activities","High shcool","Female","50 ~ 54","Employment","Persons","6885","10325","11783","13633","15416","17354","20492","24003","21929","23987","32039",
"Accommodation and food service activities","High shcool","Female","55 ~ 59","Hours worked","Hours","209.9","209.5","210.7","211.6","201.8","200.2","202.1","204.5","210","195","188.5",
"Accommodation and food service activities","High shcool","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1271","1324","1498","1590","1568","1659","1722","1833","1974","2132","2204",
"Accommodation and food service activities","High shcool","Female","55 ~ 59","Employment","Persons","3116","4708","5546","8324","8540","10468","13875","19049","21622","25799","33171",
"Accommodation and food service activities","High shcool","Female","60 years old and over","Hours worked","Hours","211","213","211.2","186.3","201.4","189.4","192.7","213","194.2","190.8","181.8",
"Accommodation and food service activities","High shcool","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1432","1455","1538","1344","1588","1556","1587","1780","1801","2035","2127",
"Accommodation and food service activities","High shcool","Female","60 years old and over","Employment","Persons","1293","869","2094","3508","3487","4320","5569","10821","12466","17244","24663",
"Accommodation and food service activities","Jonior college","Male","19 years old and less","Hours worked","Hours","-","-","-","-","145","-","-","-","142.5","-","-",
"Accommodation and food service activities","Jonior college","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","1262","-","-","-","1301","-","-",
"Accommodation and food service activities","Jonior college","Male","19 years old and less","Employment","Persons","-","-","-","-","8","-","-","-","11","-","-",
"Accommodation and food service activities","Jonior college","Male","20 ~ 24","Hours worked","Hours","185.7","175.4","184","187.5","183","186.7","171.6","180.1","169.5","156.4","162.4",
"Accommodation and food service activities","Jonior college","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1269","1119","1366","1418","1512","1599","1609","1722","1631","1681","1989",
"Accommodation and food service activities","Jonior college","Male","20 ~ 24","Employment","Persons","2196","2399","2167","2582","2198","2765","2651","3149","4491","4404","3412",
"Accommodation and food service activities","Jonior college","Male","25 ~ 29","Hours worked","Hours","207.8","203.3","197.2","200.4","194.4","188.7","178.9","186.6","198.5","175.7","180.8",
"Accommodation and food service activities","Jonior college","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1706","1850","1759","1850","1954","1875","1797","1905","2194","2296","2276",
"Accommodation and food service activities","Jonior college","Male","25 ~ 29","Employment","Persons","7678","5574","5711","4679","4328","4863","5122","6579","5389","6410","7617",
"Accommodation and food service activities","Jonior college","Male","30 ~ 34","Hours worked","Hours","206.3","206.8","202.5","202.6","195.8","198.7","199.3","197.3","189.7","182.3","176.8",
"Accommodation and food service activities","Jonior college","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2194","2294","2259","2204","2404","2427","2361","2420","2430","2704","2912",
"Accommodation and food service activities","Jonior college","Male","30 ~ 34","Employment","Persons","6529","6063","4967","4889","4904","5550","5723","4580","4430","3956","4230",
"Accommodation and food service activities","Jonior college","Male","35 ~ 39","Hours worked","Hours","209.7","199.1","206.7","205.1","197","194.1","192","199.8","194.3","183.5","190.2",
"Accommodation and food service activities","Jonior college","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2630","2627","2644","2595","2591","2777","2718","2599","2933","3112","3194",
"Accommodation and food service activities","Jonior college","Male","35 ~ 39","Employment","Persons","3431","3209","3851","3978","3426","3938","3739","4954","3937","3849","5683",
"Accommodation and food service activities","Jonior college","Male","40 ~ 44","Hours worked","Hours","203.7","180.5","200.6","195.7","185.2","192","192.4","196.9","193.3","191.8","180.4",
"Accommodation and food service activities","Jonior college","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2702","2440","3057","3241","3032","3099","3233","3180","3458","3428","3586",
"Accommodation and food service activities","Jonior college","Male","40 ~ 44","Employment","Persons","1795","2613","2442","2611","2697","2707","3092","3411","2700","3060","2799",
"Accommodation and food service activities","Jonior college","Male","45 ~ 49","Hours worked","Hours","195","190.9","199.7","204.4","186.6","186.1","205.4","202.4","188.8","192.2","178.6",
"Accommodation and food service activities","Jonior college","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","3729","3115","3214","2977","3221","3497","3306","3385","3399","3598","3771",
"Accommodation and food service activities","Jonior college","Male","45 ~ 49","Employment","Persons","1648","1481","1368","1567","1944","1348","2402","2713","1889","2401","2407",
"Accommodation and food service activities","Jonior college","Male","50 ~ 54","Hours worked","Hours","193.8","186","199.3","199.8","180.1","185.5","184.9","200.8","185.7","195.5","181",
"Accommodation and food service activities","Jonior college","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2677","3542","3348","2995","3162","3224","2960","3256","3653","3455","3718",
"Accommodation and food service activities","Jonior college","Male","50 ~ 54","Employment","Persons","375","1098","641","1004","1141","871","1203","1415","868","1563","1721",
"Accommodation and food service activities","Jonior college","Male","55 ~ 59","Hours worked","Hours","198.3","201.2","184.7","189.3","185.4","196.5","195.4","191.1","195.1","173.1","184.4",
"Accommodation and food service activities","Jonior college","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","2415","2808","2353","2823","3911","3085","2741","2625","3234","3355","3707",
"Accommodation and food service activities","Jonior college","Male","55 ~ 59","Employment","Persons","97","187","301","250","316","357","584","929","732","542","1089",
"Accommodation and food service activities","Jonior college","Male","60 years old and over","Hours worked","Hours","194.4","221.6","196","201.8","198","189.6","192.3","193.4","189.2","196.6","159.8",
"Accommodation and food service activities","Jonior college","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","2222","1888","1888","1826","1504","2236","1854","2200","2480","2458","2446",
"Accommodation and food service activities","Jonior college","Male","60 years old and over","Employment","Persons","91","39","114","265","777","246","346","435","220","799","497",
"Accommodation and food service activities","Jonior college","Female","19 years old and less","Hours worked","Hours","-","-","-","-","209","216.4","-","-","-","-","-",
"Accommodation and food service activities","Jonior college","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","1744","2041","-","-","-","-","-",
"Accommodation and food service activities","Jonior college","Female","19 years old and less","Employment","Persons","-","-","-","-","7","4","-","-","-","-","-",
"Accommodation and food service activities","Jonior college","Female","20 ~ 24","Hours worked","Hours","188.5","182.1","188.3","175.6","184.1","177.3","152","174.3","148","159.7","143.2",
"Accommodation and food service activities","Jonior college","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1309","1316","1478","1437","1560","1550","1331","1592","1417","1783","1736",
"Accommodation and food service activities","Jonior college","Female","20 ~ 24","Employment","Persons","3937","3652","4197","4571","4653","4710","7145","6145","6196","6358","6736",
"Accommodation and food service activities","Jonior college","Female","25 ~ 29","Hours worked","Hours","202.1","195.8","192.5","189.3","180.8","181.2","171.6","182.3","175.3","171.4","168.8",
"Accommodation and food service activities","Jonior college","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1744","1681","1829","1816","1873","2022","1808","1933","1881","2068","2431",
"Accommodation and food service activities","Jonior college","Female","25 ~ 29","Employment","Persons","5787","4185","4104","3764","3539","2793","4645","4105","4316","4710","5838",
"Accommodation and food service activities","Jonior college","Female","30 ~ 34","Hours worked","Hours","195.2","207.9","188.3","191.7","181.6","185.1","182.1","174.3","174","167.2","166.9",
"Accommodation and food service activities","Jonior college","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1752","2243","2213","2291","2172","2224","2129","2054","2069","2299","2531",
"Accommodation and food service activities","Jonior college","Female","30 ~ 34","Employment","Persons","3095","2258","2472","2293","2795","2156","2500","3199","2087","2457","2086",
"Accommodation and food service activities","Jonior college","Female","35 ~ 39","Hours worked","Hours","180.3","211.9","193.5","187.6","182","187.6","192.2","182.7","183.9","162","166.2",
"Accommodation and food service activities","Jonior college","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1426","1738","2184","2127","2114","2380","2224","2272","2272","2545","2558",
"Accommodation and food service activities","Jonior college","Female","35 ~ 39","Employment","Persons","1883","2478","1435","1522","1464","1188","1638","2224","1968","1918","2354",
"Accommodation and food service activities","Jonior college","Female","40 ~ 44","Hours worked","Hours","210.3","222.5","198.4","204.3","196.8","182.1","179.3","194.3","179.2","175.3","168.8",
"Accommodation and food service activities","Jonior college","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1598","1863","2121","2005","2144","2015","1944","2375","2134","2507","2557",
"Accommodation and food service activities","Jonior college","Female","40 ~ 44","Employment","Persons","780","1264","1025","1063","1554","1283","1806","1194","1794","1324","1569",
"Accommodation and food service activities","Jonior college","Female","45 ~ 49","Hours worked","Hours","209.1","253.7","219.7","210","207.3","200.5","200","200.7","191.3","171.3","176.9",
"Accommodation and food service activities","Jonior college","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1617","1692","1939","1975","1957","1890","2127","1970","2086","2561","2513",
"Accommodation and food service activities","Jonior college","Female","45 ~ 49","Employment","Persons","515","1436","788","870","1050","1527","1110","1700","1230","1480","2251",
"Accommodation and food service activities","Jonior college","Female","50 ~ 54","Hours worked","Hours","197","228.8","206.3","215.9","187.3","204.3","193.9","195.4","216.9","191.8","180.5",
"Accommodation and food service activities","Jonior college","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1549","1747","1904","1759","1893","1831","2091","1981","1952","2234","2666",
"Accommodation and food service activities","Jonior college","Female","50 ~ 54","Employment","Persons","224","524","414","974","924","1032","585","1043","1410","1281","1148",
"Accommodation and food service activities","Jonior college","Female","55 ~ 59","Hours worked","Hours","201.3","223","198.6","216.6","206","195.2","195.5","223.2","189.5","180.5","168.6",
"Accommodation and food service activities","Jonior college","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1634","1700","2034","1478","1657","1823","1760","1878","2004","2110","2281",
"Accommodation and food service activities","Jonior college","Female","55 ~ 59","Employment","Persons","94","142","96","261","584","269","461","836","1021","816","834",
"Accommodation and food service activities","Jonior college","Female","60 years old and over","Hours worked","Hours","203.6","195.5","170.3","210.6","207.9","216.2","192.5","206.2","177","173.5","190.6",
"Accommodation and food service activities","Jonior college","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1731","1752","1451","1768","1460","1904","1729","1691","1779","2014","2204",
"Accommodation and food service activities","Jonior college","Female","60 years old and over","Employment","Persons","116","105","71","110","120","95","65","270","400","388","619",
"Accommodation and food service activities","College and university and over","Male","19 years old and less","Hours worked","Hours","-","-","-","-","-","-","-","-","-","-","-",
"Accommodation and food service activities","College and university and over","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","-","-","-","-",
"Accommodation and food service activities","College and university and over","Male","19 years old and less","Employment","Persons","-","-","-","-","-","-","-","-","-","-","-",
"Accommodation and food service activities","College and university and over","Male","20 ~ 24","Hours worked","Hours","195.3","179.3","175.5","175.3","172","172.3","152.9","166.7","176.2","159.2","151.9",
"Accommodation and food service activities","College and university and over","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1300","1210","1289","1514","1435","1666","1405","1516","1721","1817","1888",
"Accommodation and food service activities","College and university and over","Male","20 ~ 24","Employment","Persons","750","1001","584","660","754","1114","1175","1296","1439","1731","1497",
"Accommodation and food service activities","College and university and over","Male","25 ~ 29","Hours worked","Hours","201.4","203.5","191","193.9","192.3","188.6","180.9","192.6","189.2","177.3","167.7",
"Accommodation and food service activities","College and university and over","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1665","1805","1776","1876","2086","1966","1784","2016","2113","2176","2202",
"Accommodation and food service activities","College and university and over","Male","25 ~ 29","Employment","Persons","4488","3795","3376","4301","3828","4963","5458","5434","6892","7294","8388",
"Accommodation and food service activities","College and university and over","Male","30 ~ 34","Hours worked","Hours","210.4","209.5","193.7","197.7","187","191.9","193.2","194.9","190.7","183.1","176.5",
"Accommodation and food service activities","College and university and over","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2259","2369","2356","2213","2582","2360","2580","2483","2511","2652","2688",
